file_path;class_name;method_name;docstring_summary;suggested_patterns
qiskit_algorithms/time_evolvers/pvqd/pvqd.py;PVQD;evolve;Perform real time evolution :math:`\exp(-i t H)|\Psi\rangle`.;Variational Quantum Algorithm (VQA)
qiskit_algorithms/time_evolvers/pvqd/pvqd.py;PVQD;get_loss;Get a function to evaluate the infidelity between Trotter step and ansatz.;Variational Quantum Algorithm (VQA)
qiskit_algorithms/time_evolvers/pvqd/pvqd.py;PVQD;step;Perform a single time step.;Variational Quantum Algorithm (VQA)
qiskit_algorithms/time_evolvers/real_time_evolver.py;RealTimeEvolver;evolve;Perform real time evolution :math:`\exp(-i t H)|\Psi\rangle`.;Variational Quantum Algorithm (VQA)
qiskit_algorithms/time_evolvers/trotterization/trotter_qrte.py;TrotterQRTE;evolve;Evolves a quantum state for a given time using the Trotterization method;Initialization
qiskit_algorithms/time_evolvers/trotterization/trotter_qrte.py;TrotterQRTE;supports_aux_operators;Whether computing the expectation value of auxiliary operators is supported.;Classic
qiskit_algorithms/time_evolvers/variational/var_qte.py;VarQTE;evolve;Apply Variational Quantum Time Evolution to the given operator.;Variational Quantum Algorithm (VQA)
qiskit_algorithms/time_evolvers/variational/variational_principles/imaginary_mc_lachlan_principle.py;ImaginaryMcLachlanPrinciple;evolution_gradient;Calculates an evolution gradient according to the rules of this variational principle.;Variational Quantum Algorithm (VQA)
qiskit_algorithms/time_evolvers/variational/variational_principles/real_mc_lachlan_principle.py;RealMcLachlanPrinciple;evolution_gradient;Calculates an evolution gradient according to the rules of this variational principle.;Variational Quantum Algorithm (VQA)
qiskit_algorithms/time_evolvers/variational/variational_principles/variational_principle.py;VariationalPrinciple;evolution_gradient;Calculates an evolution gradient according to the rules of this variational principle.;Variational Quantum Algorithm (VQA)
qiskit_algorithms/time_evolvers/variational/variational_principles/variational_principle.py;VariationalPrinciple;metric_tensor;Calculates a metric tensor according to the rules of this variational principle.;Variational Quantum Algorithm (VQA)
